17:12:10,189 DEBUG main hibernate.SQL:109 - insert into geek (id, adrmail, genre, nom, prenom) values (default, ?, ?, ?, ?)
17:12:10,195 ERROR main spi.SqlExceptionHelper:146 - DEFAULT keyword cannot be used as column has no DEFAULT
17:13:58,248 DEBUG main hibernate.SQL:109 - insert into geek (id, adrmail, genre, nom, prenom) values (default, ?, ?, ?, ?)
17:13:58,264 ERROR main spi.SqlExceptionHelper:146 - DEFAULT keyword cannot be used as column has no DEFAULT
17:14:59,883 DEBUG main hibernate.SQL:109 - insert into geek (id, adrmail, genre, nom, prenom) values (default, ?, ?, ?, ?)
17:14:59,891 ERROR main spi.SqlExceptionHelper:146 - DEFAULT keyword cannot be used as column has no DEFAULT
17:15:14,235 DEBUG main hibernate.SQL:109 - insert into geek (id, adrmail, genre, nom, prenom) values (default, ?, ?, ?, ?)
17:15:14,251 ERROR main spi.SqlExceptionHelper:146 - DEFAULT keyword cannot be used as column has no DEFAULT
17:45:50,464 DEBUG main hibernate.SQL:109 - select geek0_.id as id1_2_0_, geek0_.adrmail as adrmail2_2_0_, geek0_.genre as genre3_2_0_, geek0_.nom as nom4_2_0_, geek0_.prenom as prenom5_2_0_, (select Count(*) from audit join geek0_.geek on (audit.geek = geek.id) where geek.id = geek0_.id) as formula0_0_ from geek geek0_ where geek0_.id=?
17:45:50,569 ERROR main spi.SqlExceptionHelper:146 - unexpected token: SELECT
17:53:49,735 DEBUG main hibernate.SQL:109 - select geek0_.id as id1_2_0_, geek0_.adrmail as adrmail2_2_0_, geek0_.genre as genre3_2_0_, geek0_.nom as nom4_2_0_, geek0_.prenom as prenom5_2_0_, (select Count(*) from audit join geek0_.geek on (audit.geek = geek.id) where geek.id = geek0_.id) as formula0_0_ from geek geek0_ where geek0_.id=?
17:53:49,846 ERROR main spi.SqlExceptionHelper:146 - unexpected token: SELECT
17:54:54,459 DEBUG main hibernate.SQL:109 - select geek0_.id as id1_2_0_, geek0_.adrmail as adrmail2_2_0_, geek0_.genre as genre3_2_0_, geek0_.nom as nom4_2_0_, geek0_.prenom as prenom5_2_0_, (select Count(*) from audit join geek0_.geek on (audit.geek = geek.id) where geek.id = geek0_.id) as formula0_0_ from geek geek0_ where geek0_.id=?
17:54:54,569 ERROR main spi.SqlExceptionHelper:146 - unexpected token: SELECT
08:34:20,219 DEBUG main hibernate.SQL:109 - select geek0_.id as id1_2_0_, geek0_.adrmail as adrmail2_2_0_, geek0_.genre as genre3_2_0_, geek0_.nom as nom4_2_0_, geek0_.prenom as prenom5_2_0_, (select Count(*) from audit join geek0_.geek on (audit.geek = geek.id) where geek.id = geek0_.id) as formula0_0_ from geek geek0_ where geek0_.id=?
08:34:20,324 ERROR main spi.SqlExceptionHelper:146 - unexpected token: SELECT
08:43:20,950 DEBUG main hibernate.SQL:109 - select geek0_.id as id1_2_, geek0_.adrmail as adrmail2_2_, geek0_.genre as genre3_2_, geek0_.nom as nom4_2_, geek0_.prenom as prenom5_2_, (select Count(*) from audit join geek0_.geek on (audit.geek = geek.id) where geek.id = geek0_.id) as formula0_ from geek geek0_
08:43:21,076 ERROR main spi.SqlExceptionHelper:146 - unexpected token: SELECT
08:44:44,499 DEBUG main hibernate.SQL:109 - select geek0_.id as id1_2_, geek0_.adrmail as adrmail2_2_, geek0_.genre as genre3_2_, geek0_.nom as nom4_2_, geek0_.prenom as prenom5_2_ from geek geek0_
08:48:30,918 DEBUG main hibernate.SQL:109 - select geek0_.id as id1_2_, geek0_.adrmail as adrmail2_2_, geek0_.genre as genre3_2_, geek0_.nom as nom4_2_, geek0_.prenom as prenom5_2_ from geek geek0_
08:48:31,259 DEBUG main hibernate.SQL:109 - select geek0_.id as id1_2_0_, geek0_.adrmail as adrmail2_2_0_, geek0_.genre as genre3_2_0_, geek0_.nom as nom4_2_0_, geek0_.prenom as prenom5_2_0_ from geek geek0_ where geek0_.id=?
08:50:41,732 DEBUG main hibernate.SQL:109 - select geek0_.id as id1_2_, geek0_.adrmail as adrmail2_2_, geek0_.genre as genre3_2_, geek0_.nom as nom4_2_, geek0_.prenom as prenom5_2_ from geek geek0_
08:50:42,096 DEBUG main hibernate.SQL:109 - select geek0_.id as id1_2_0_, geek0_.adrmail as adrmail2_2_0_, geek0_.genre as genre3_2_0_, geek0_.nom as nom4_2_0_, geek0_.prenom as prenom5_2_0_ from geek geek0_ where geek0_.id=?
08:51:20,520 DEBUG main hibernate.SQL:109 - select geek0_.id as id1_2_, geek0_.adrmail as adrmail2_2_, geek0_.genre as genre3_2_, geek0_.nom as nom4_2_, geek0_.prenom as prenom5_2_ from geek geek0_
08:51:20,771 DEBUG main hibernate.SQL:109 - select geek0_.id as id1_2_0_, geek0_.adrmail as adrmail2_2_0_, geek0_.genre as genre3_2_0_, geek0_.nom as nom4_2_0_, geek0_.prenom as prenom5_2_0_ from geek geek0_ where geek0_.id=?
08:56:43,636 DEBUG main hibernate.SQL:109 - select geek0_.id as id1_2_, geek0_.adrmail as adrmail2_2_, geek0_.genre as genre3_2_, geek0_.nom as nom4_2_, geek0_.prenom as prenom5_2_ from geek geek0_
08:56:43,870 DEBUG main hibernate.SQL:109 - select geek0_.id as id1_2_0_, geek0_.adrmail as adrmail2_2_0_, geek0_.genre as genre3_2_0_, geek0_.nom as nom4_2_0_, geek0_.prenom as prenom5_2_0_ from geek geek0_ where geek0_.id=?
09:30:54,012 DEBUG main hibernate.SQL:109 - select geek0_.id as id1_2_, geek0_.adrmail as adrmail2_2_, geek0_.genre as genre3_2_, geek0_.nom as nom4_2_, geek0_.prenom as prenom5_2_ from geek geek0_
09:30:54,247 DEBUG main hibernate.SQL:109 - select geek0_.id as id1_2_0_, geek0_.adrmail as adrmail2_2_0_, geek0_.genre as genre3_2_0_, geek0_.nom as nom4_2_0_, geek0_.prenom as prenom5_2_0_ from geek geek0_ where geek0_.id=?
09:41:02,669 DEBUG main hibernate.SQL:109 - select geek0_.id as id1_2_, geek0_.adrmail as adrmail2_2_, geek0_.genre as genre3_2_, geek0_.nom as nom4_2_, geek0_.prenom as prenom5_2_ from geek geek0_
09:41:03,028 DEBUG main hibernate.SQL:109 - select geek0_.id as id1_2_0_, geek0_.adrmail as adrmail2_2_0_, geek0_.genre as genre3_2_0_, geek0_.nom as nom4_2_0_, geek0_.prenom as prenom5_2_0_ from geek geek0_ where geek0_.id=?
09:46:09,369 DEBUG main hibernate.SQL:109 - select geek0_.id as id1_2_, geek0_.adrmail as adrmail2_2_, geek0_.genre as genre3_2_, geek0_.nom as nom4_2_, geek0_.prenom as prenom5_2_ from geek geek0_
09:46:09,619 DEBUG main hibernate.SQL:109 - select distinct geek0_.id as id1_2_, geek0_.adrmail as adrmail2_2_, geek0_.genre as genre3_2_, geek0_.nom as nom4_2_, geek0_.prenom as prenom5_2_ from geek geek0_ inner join centreinteretgeek listintere1_ on geek0_.id=listintere1_.idgeek inner join centreinteret centreinte2_ on listintere1_.idcentreinteret=centreinte2_.id where centreinte2_.nom in (?)
09:46:09,838 DEBUG main hibernate.SQL:109 - select geek0_.id as id1_2_0_, geek0_.adrmail as adrmail2_2_0_, geek0_.genre as genre3_2_0_, geek0_.nom as nom4_2_0_, geek0_.prenom as prenom5_2_0_ from geek geek0_ where geek0_.id=?
09:49:36,757 DEBUG main hibernate.SQL:109 - select geek0_.id as id1_2_, geek0_.adrmail as adrmail2_2_, geek0_.genre as genre3_2_, geek0_.nom as nom4_2_, geek0_.prenom as prenom5_2_ from geek geek0_
09:49:37,023 DEBUG main hibernate.SQL:109 - select distinct geek0_.id as id1_2_, geek0_.adrmail as adrmail2_2_, geek0_.genre as genre3_2_, geek0_.nom as nom4_2_, geek0_.prenom as prenom5_2_ from geek geek0_ inner join centreinteretgeek listintere1_ on geek0_.id=listintere1_.idgeek inner join centreinteret centreinte2_ on listintere1_.idcentreinteret=centreinte2_.id where centreinte2_.nom in (?)
09:49:37,242 DEBUG main hibernate.SQL:109 - select geek0_.id as id1_2_0_, geek0_.adrmail as adrmail2_2_0_, geek0_.genre as genre3_2_0_, geek0_.nom as nom4_2_0_, geek0_.prenom as prenom5_2_0_ from geek geek0_ where geek0_.id=?
09:51:36,220 DEBUG main hibernate.SQL:109 - select geek0_.id as id1_2_, geek0_.adrmail as adrmail2_2_, geek0_.genre as genre3_2_, geek0_.nom as nom4_2_, geek0_.prenom as prenom5_2_ from geek geek0_
09:51:36,471 DEBUG main hibernate.SQL:109 - select distinct geek0_.id as id1_2_, geek0_.adrmail as adrmail2_2_, geek0_.genre as genre3_2_, geek0_.nom as nom4_2_, geek0_.prenom as prenom5_2_ from geek geek0_ inner join centreinteretgeek listintere1_ on geek0_.id=listintere1_.idgeek inner join centreinteret centreinte2_ on listintere1_.idcentreinteret=centreinte2_.id where centreinte2_.nom in (?)
09:51:36,689 DEBUG main hibernate.SQL:109 - select geek0_.id as id1_2_0_, geek0_.adrmail as adrmail2_2_0_, geek0_.genre as genre3_2_0_, geek0_.nom as nom4_2_0_, geek0_.prenom as prenom5_2_0_ from geek geek0_ where geek0_.id=?
10:19:07,523 DEBUG main hibernate.SQL:109 - select geek0_.id as id1_2_, geek0_.adrmail as adrmail2_2_, geek0_.genre as genre3_2_, geek0_.nom as nom4_2_, geek0_.prenom as prenom5_2_ from geek geek0_
10:19:07,758 DEBUG main hibernate.SQL:109 - select geek0_.id as id1_2_, geek0_.adrmail as adrmail2_2_, geek0_.genre as genre3_2_, geek0_.nom as nom4_2_, geek0_.prenom as prenom5_2_ from geek geek0_
10:19:07,867 DEBUG main hibernate.SQL:109 - select geek0_.id as id1_2_, geek0_.adrmail as adrmail2_2_, geek0_.genre as genre3_2_, geek0_.nom as nom4_2_, geek0_.prenom as prenom5_2_ from geek geek0_
10:19:08,101 DEBUG main hibernate.SQL:109 - select distinct geek0_.id as id1_2_, geek0_.adrmail as adrmail2_2_, geek0_.genre as genre3_2_, geek0_.nom as nom4_2_, geek0_.prenom as prenom5_2_ from geek geek0_ inner join centreinteretgeek listintere1_ on geek0_.id=listintere1_.idgeek inner join centreinteret centreinte2_ on listintere1_.idcentreinteret=centreinte2_.id where centreinte2_.nom in (?)
10:19:08,320 DEBUG main hibernate.SQL:109 - select geek0_.id as id1_2_0_, geek0_.adrmail as adrmail2_2_0_, geek0_.genre as genre3_2_0_, geek0_.nom as nom4_2_0_, geek0_.prenom as prenom5_2_0_ from geek geek0_ where geek0_.id=?
10:19:46,052 DEBUG main hibernate.SQL:109 - select geek0_.id as id1_2_, geek0_.adrmail as adrmail2_2_, geek0_.genre as genre3_2_, geek0_.nom as nom4_2_, geek0_.prenom as prenom5_2_ from geek geek0_
10:19:46,287 DEBUG main hibernate.SQL:109 - select geek0_.id as id1_2_, geek0_.adrmail as adrmail2_2_, geek0_.genre as genre3_2_, geek0_.nom as nom4_2_, geek0_.prenom as prenom5_2_ from geek geek0_
10:19:46,396 DEBUG main hibernate.SQL:109 - select geek0_.id as id1_2_, geek0_.adrmail as adrmail2_2_, geek0_.genre as genre3_2_, geek0_.nom as nom4_2_, geek0_.prenom as prenom5_2_ from geek geek0_
10:19:46,630 DEBUG main hibernate.SQL:109 - select distinct geek0_.id as id1_2_, geek0_.adrmail as adrmail2_2_, geek0_.genre as genre3_2_, geek0_.nom as nom4_2_, geek0_.prenom as prenom5_2_ from geek geek0_ inner join centreinteretgeek listintere1_ on geek0_.id=listintere1_.idgeek inner join centreinteret centreinte2_ on listintere1_.idcentreinteret=centreinte2_.id where centreinte2_.nom in (?)
10:19:46,848 DEBUG main hibernate.SQL:109 - select geek0_.id as id1_2_0_, geek0_.adrmail as adrmail2_2_0_, geek0_.genre as genre3_2_0_, geek0_.nom as nom4_2_0_, geek0_.prenom as prenom5_2_0_ from geek geek0_ where geek0_.id=?
10:21:01,852 DEBUG main hibernate.SQL:109 - select geek0_.id as id1_2_, geek0_.adrmail as adrmail2_2_, geek0_.genre as genre3_2_, geek0_.nom as nom4_2_, geek0_.prenom as prenom5_2_ from geek geek0_
10:21:02,087 DEBUG main hibernate.SQL:109 - select geek0_.id as id1_2_, geek0_.adrmail as adrmail2_2_, geek0_.genre as genre3_2_, geek0_.nom as nom4_2_, geek0_.prenom as prenom5_2_ from geek geek0_
10:21:02,196 DEBUG main hibernate.SQL:109 - select geek0_.id as id1_2_, geek0_.adrmail as adrmail2_2_, geek0_.genre as genre3_2_, geek0_.nom as nom4_2_, geek0_.prenom as prenom5_2_ from geek geek0_
10:21:02,446 DEBUG main hibernate.SQL:109 - select distinct geek0_.id as id1_2_, geek0_.adrmail as adrmail2_2_, geek0_.genre as genre3_2_, geek0_.nom as nom4_2_, geek0_.prenom as prenom5_2_ from geek geek0_ inner join centreinteretgeek listintere1_ on geek0_.id=listintere1_.idgeek inner join centreinteret centreinte2_ on listintere1_.idcentreinteret=centreinte2_.id where centreinte2_.nom in (?)
10:21:02,664 DEBUG main hibernate.SQL:109 - select geek0_.id as id1_2_0_, geek0_.adrmail as adrmail2_2_0_, geek0_.genre as genre3_2_0_, geek0_.nom as nom4_2_0_, geek0_.prenom as prenom5_2_0_ from geek geek0_ where geek0_.id=?
10:26:56,209 DEBUG main hibernate.SQL:109 - select geek0_.id as id1_2_, geek0_.adrmail as adrmail2_2_, geek0_.genre as genre3_2_, geek0_.nom as nom4_2_, geek0_.prenom as prenom5_2_ from geek geek0_
10:26:56,447 DEBUG main hibernate.SQL:109 - select geek0_.id as id1_2_, geek0_.adrmail as adrmail2_2_, geek0_.genre as genre3_2_, geek0_.nom as nom4_2_, geek0_.prenom as prenom5_2_ from geek geek0_
10:26:56,673 DEBUG main hibernate.SQL:109 - select distinct geek0_.id as id1_2_, geek0_.adrmail as adrmail2_2_, geek0_.genre as genre3_2_, geek0_.nom as nom4_2_, geek0_.prenom as prenom5_2_ from geek geek0_ inner join centreinteretgeek listintere1_ on geek0_.id=listintere1_.idgeek inner join centreinteret centreinte2_ on listintere1_.idcentreinteret=centreinte2_.id where centreinte2_.nom in (?)
10:26:56,887 DEBUG main hibernate.SQL:109 - select geek0_.id as id1_2_0_, geek0_.adrmail as adrmail2_2_0_, geek0_.genre as genre3_2_0_, geek0_.nom as nom4_2_0_, geek0_.prenom as prenom5_2_0_ from geek geek0_ where geek0_.id=?
10:30:14,521 DEBUG main hibernate.SQL:109 - select geek0_.id as id1_2_, geek0_.adrmail as adrmail2_2_, geek0_.genre as genre3_2_, geek0_.nom as nom4_2_, geek0_.prenom as prenom5_2_ from geek geek0_
10:30:14,771 DEBUG main hibernate.SQL:109 - select geek0_.id as id1_2_, geek0_.adrmail as adrmail2_2_, geek0_.genre as genre3_2_, geek0_.nom as nom4_2_, geek0_.prenom as prenom5_2_ from geek geek0_
10:30:14,771 DEBUG main hibernate.SQL:109 - insert into geek (id, adrmail, genre, nom, prenom) values (default, ?, ?, ?, ?)
10:30:14,787 ERROR main spi.SqlExceptionHelper:146 - DEFAULT keyword cannot be used as column has no DEFAULT
10:30:15,021 DEBUG main hibernate.SQL:109 - select distinct geek0_.id as id1_2_, geek0_.adrmail as adrmail2_2_, geek0_.genre as genre3_2_, geek0_.nom as nom4_2_, geek0_.prenom as prenom5_2_ from geek geek0_ inner join centreinteretgeek listintere1_ on geek0_.id=listintere1_.idgeek inner join centreinteret centreinte2_ on listintere1_.idcentreinteret=centreinte2_.id where centreinte2_.nom in (?)
10:30:15,239 DEBUG main hibernate.SQL:109 - select geek0_.id as id1_2_0_, geek0_.adrmail as adrmail2_2_0_, geek0_.genre as genre3_2_0_, geek0_.nom as nom4_2_0_, geek0_.prenom as prenom5_2_0_ from geek geek0_ where geek0_.id=?
11:06:02,939 DEBUG main hibernate.SQL:109 - select geek0_.id as id1_2_, geek0_.adrmail as adrmail2_2_, geek0_.genre as genre3_2_, geek0_.nom as nom4_2_, geek0_.prenom as prenom5_2_ from geek geek0_
11:06:03,205 DEBUG main hibernate.SQL:109 - select distinct geek0_.id as id1_2_, geek0_.adrmail as adrmail2_2_, geek0_.genre as genre3_2_, geek0_.nom as nom4_2_, geek0_.prenom as prenom5_2_ from geek geek0_ inner join centreinteretgeek listintere1_ on geek0_.id=listintere1_.idgeek inner join centreinteret centreinte2_ on listintere1_.idcentreinteret=centreinte2_.id where centreinte2_.nom=?
11:06:03,424 DEBUG main hibernate.SQL:109 - select geek0_.id as id1_2_0_, geek0_.adrmail as adrmail2_2_0_, geek0_.genre as genre3_2_0_, geek0_.nom as nom4_2_0_, geek0_.prenom as prenom5_2_0_ from geek geek0_ where geek0_.id=?
11:09:59,523 DEBUG main hibernate.SQL:109 - select geek0_.id as id1_2_, geek0_.adrmail as adrmail2_2_, geek0_.genre as genre3_2_, geek0_.nom as nom4_2_, geek0_.prenom as prenom5_2_ from geek geek0_
11:10:00,008 DEBUG main hibernate.SQL:109 - select distinct geek0_.id as id1_2_, geek0_.adrmail as adrmail2_2_, geek0_.genre as genre3_2_, geek0_.nom as nom4_2_, geek0_.prenom as prenom5_2_ from geek geek0_ inner join centreinteretgeek listintere1_ on geek0_.id=listintere1_.idgeek inner join centreinteret centreinte2_ on listintere1_.idcentreinteret=centreinte2_.id where centreinte2_.nom=?
